List,Card Name,Card Description,Labels,Priority,Effort
Sprint 0 - Concluido,Auth JWT,Login e filtro de validacao de token JWT,Backend;Seguranca,Alta,Concluido
Sprint 0 - Concluido,Upload de PDF com validacao,Validacao de tipo e tamanho de arquivo no upload,Backend,Alta,Concluido
Sprint 0 - Concluido,Processamento assincrono via RabbitMQ,Fila de processamento de documentos,Backend;Infra,Alta,Concluido
Sprint 0 - Concluido,Integracao com Claude API,Classificacao e resumo automatico do documento,Backend;IA,Alta,Concluido
Sprint 0 - Concluido,Migrations Flyway + PostgreSQL,Versionamento de schema de banco,Backend,Alta,Concluido
Sprint 0 - Concluido,Testes unitarios JUnit/Mockito,Cobertura de servicos principais,Qualidade,Alta,Concluido
Sprint 0 - Concluido,Testes de integracao Testcontainers,Testes contra banco real em container,Qualidade,Alta,Concluido
Sprint 0 - Concluido,Cobertura JaCoCo,Gate de cobertura de testes configurado,Qualidade,Media,Concluido
Sprint 0 - Concluido,Swagger/OpenAPI,Documentacao interativa da API,Backend,Media,Concluido
Sprint 1 - Higiene e Resiliencia,Remover segredos hardcoded,"jwt.secret, senha do Postgres e do RabbitMQ saem do application.properties commitado; usar variaveis de ambiente + application.properties.example",Seguranca,Alta,Concluido
Sprint 1 - Higiene e Resiliencia,Dead Letter Exchange (DLX),Configurar exchange/fila de DLQ no RabbitMQ com retry e backoff antes de descartar mensagem,Backend;Infra,Alta,Concluido
Sprint 1 - Higiene e Resiliencia,Endpoint de reprocessamento,POST /api/documents/{id}/reprocess reseta status para PENDING e republica na fila,Backend,Alta,Concluido
Sprint 1 - Higiene e Resiliencia,Spring Actuator,Adicionar starter-actuator e endpoint /actuator/health,Backend;Infra,Media,Concluido
Sprint 2 - CI e Seguranca,CI basico,GitHub Actions rodando mvn test a cada push/PR,DevOps,Alta,Concluido
Sprint 2 - CI e Seguranca,SCA - analise de dependencias,Dependabot escaneando pom.xml (backend) e as GitHub Actions,Seguranca;DevOps,Alta,Concluido
Sprint 2 - CI e Seguranca,SAST - analise estatica,Semgrep no pipeline com upload de SARIF pro GitHub code scanning,Seguranca;DevOps,Alta,Concluido
Sprint 2 - CI e Seguranca,DAST - analise dinamica,"OWASP ZAP baseline scan contra app subindo via docker compose --wait no CI, relatorio como artefato",Seguranca;DevOps,Media,Concluido
Sprint 2 - CI e Seguranca,Badge de CI no README,Exibir status do pipeline no README,Documentacao,Baixa,Concluido
Sprint 3 - Empacotamento,Dockerfile da aplicacao,"Multi-stage build Maven -> JRE runtime, usuario nao-root",Infra,Media,Concluido
Sprint 3 - Empacotamento,docker-compose completo,Unir app + Postgres + RabbitMQ com healthchecks,Infra,Media,Concluido
Sprint 3 - Empacotamento,Variaveis de producao documentadas,README com lista de env vars necessarias em producao,Documentacao,Baixa,Concluido
Sprint 3 - Empacotamento,Abstracao de provedor de IA,"Interface DocumentAiAnalyzer + implementacao GroqAiAnalyzer (Llama 3.3 70B via Groq, gratuita) como unica forma de analise - ClaudeService removido pra simplificar",Backend,Alta,Concluido
Sprint 4 - Frontend em React,Reescrever em React + TypeScript,6 paginas + login migradas para componentes mantendo os dados mockados,Frontend,Media,Concluido
Sprint 4 - Frontend em React,Responsividade,Sidebar em drawer grids que colapsam tabelas com scroll horizontal em telas pequenas,Frontend,Alta,Concluido
Sprint 4 - Frontend em React,Conectar API real,Login JWT documentos upload tasks e audit consumindo o backend de verdade,Frontend,Media,Concluido
Sprint 4 - Frontend em React,Corrigir senha do usuario de demo,Hash seedado na V1 nao batia com demo123; corrigido via migration V2,Seguranca,Alta,Concluido
Sprint 4 - Frontend em React,Timeout no cliente HTTP de IA,RestTemplate sem timeout travava a thread do consumer e impedia o retry/DLX de agir,Backend,Alta,Concluido
Sprint 5 - Sandbox de PDF,Validacao de magic bytes,Validar assinatura real do arquivo (%PDF-) alem da extensao .pdf,Seguranca,Alta,Pequeno
Sprint 5 - Sandbox de PDF,Timeout de processamento,Cancelar e marcar como ERROR se extracao/analise passar de X segundos,Backend,Media,Pequeno
Sprint 5 - Sandbox de PDF,Isolar extracao de texto,"Rodar extractText/countPages em subprocesso ou container efemero com limite de CPU/memoria",Seguranca;Backend,Media,Grande
Sprint 6 - Site de Apresentacao,Landing page publica,Pagina em / explicando o problema a solucao e o fluxo com CTA pro login,Frontend,Media,Medio
Sprint 6 - Site de Apresentacao,Multi-idioma,Suporte a mais de um idioma (pelo menos PT-BR e EN),Frontend,Media,Medio
Sprint 6 - Site de Apresentacao,Screenshots/demo visual,Prints ou GIF curto do dashboard/upload real,Frontend,Baixa,Pequeno
Sprint 7 - Tempo Real,SSE de status de documento,SseEmitter por documento; consumer do RabbitMQ dispara evento ao terminar processamento,Backend,Baixa,Medio
Sprint 7 - Tempo Real,Frontend consumindo SSE,Trocar polling manual do frontend mock por escuta de eventos,Frontend,Baixa,Pequeno
Sprint 8 - GitOps e Kubernetes,Manifests base do Kubernetes,"Deployment/Service/Ingress + probes de liveness/readiness, base pro Helm chart e pro Argo Application",Infra,Baixa,Grande
Sprint 8 - GitOps e Kubernetes,Helm chart do backend,"Empacotar os manifests (deployment, service, configmap) num Helm chart parametrizavel ao inves de YAML solto",Infra,Media,Medio
Sprint 8 - GitOps e Kubernetes,CI publicando imagem no registry,Estender o CI (GitHub Actions) pra buildar e publicar a imagem Docker a cada push na main,DevOps;Infra,Media,Pequeno
Sprint 8 - GitOps e Kubernetes,Repositorio de config GitOps,Repositorio separado so com os manifests/Helm values versionando o estado desejado do cluster,Infra,Baixa,Pequeno
Sprint 8 - GitOps e Kubernetes,ArgoCD sincronizando o cluster,Instalar ArgoCD (local via Minikube) e configurar Application apontando pro repo de config com sync automatico,Infra,Baixa,Medio
Sprint 9 - Deploy Publico (Adiado),Deploy publico gratuito,"Render (backend) + Neon (Postgres) + CloudAMQP (RabbitMQ). render.yaml + guia prontos (docs/deploy-render.md); falta criar as contas e conectar - adiado por decisao do usuario, nao e o momento de subir o servico",Infra,Media,Medio
Sprint 10 - Deploy na AWS (Adiado),IAM basico,Usuario/role dedicado com permissao minima; nunca usar a conta root pra deploy,Seguranca;Infra,Alta,Pequeno
Sprint 10 - Deploy na AWS (Adiado),RDS PostgreSQL,Banco gerenciado na AWS substituindo o Postgres local,Infra,Alta,Medio
Sprint 10 - Deploy na AWS (Adiado),VPC e Security Groups,Rede isolada pro banco (sem IP publico) e regras de firewall explicitas,Infra;Seguranca,Media,Medio
Sprint 10 - Deploy na AWS (Adiado),ECS Fargate,Rodar o mesmo container do Dockerfile em Fargate sem gerenciar servidor diretamente,Infra,Alta,Grande
Sprint 10 - Deploy na AWS (Adiado),Application Load Balancer,Expor o servico do ECS publicamente com HTTPS,Infra,Media,Medio
Sprint 10 - Deploy na AWS (Adiado),Documentar custo e teardown,Free tier usado e passo a passo pra derrubar tudo e nao gerar cobranca inesperada,Documentacao,Alta,Pequeno
Backlog - Planejado,Camada de analytics,Agregacoes e export CSV/Parquet,Backend,Baixa,Grande
